state_name,district,stcode,dtcode,year,flood_events,affected_area,fatalities,displaced,max_severity,max_flood_impact_index,flood_occurred
Andhra Pradesh,Spsr Nellore,28,515,2005,2,750505.81610725,405,400000,1.0,7.1897694283678,1
Andhra Pradesh,Spsr Nellore,28,515,2006,2,230964.777114518,67,225000,1.0,5.8827973236263,1
Andhra Pradesh,Spsr Nellore,28,515,2007,3,617584.427129385,250,270000,1.0,6.7677001834385,1
Andhra Pradesh,Spsr Nellore,28,515,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Spsr Nellore,28,515,2010,1,63171.41172685,27,50000,1.0,5.6456186224386,1
Andhra Pradesh,Spsr Nellore,28,515,2012,1,126082.83119507,40,70000,2.0,6.1006559523551,1
Andhra Pradesh,Spsr Nellore,28,515,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Spsr Nellore,28,515,2015,1,93202.053762891,180,400000,2.0,6.6683954867336,1
Andhra Pradesh,Spsr Nellore,28,515,2021,2,300948.0,47,43827,2.0,6.197103495333,1
Andhra Pradesh,Srikakulam,28,519,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Srikakulam,28,519,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Srikakulam,28,519,1991,2,751511.94623987,105,85000,1.0,6.5559874421319,1
Andhra Pradesh,Srikakulam,28,519,1994,3,2247144.19401963,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Srikakulam,28,519,1995,2,570876.40921351,238,522000,1.0,6.3337519666177,1
Andhra Pradesh,Srikakulam,28,519,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,Srikakulam,28,519,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Srikakulam,28,519,1999,1,191940.24191857,9803,10000000,2.0,6.7602872925659,1
Andhra Pradesh,Srikakulam,28,519,2003,1,117883.61598646,67,3000000,1.0,6.8118161385154,1
Andhra Pradesh,Srikakulam,28,519,2005,1,374448.84730919,89,550000,1.0,6.8038414193852,1
Andhra Pradesh,Srikakulam,28,519,2006,3,525005.056348009,238,2000000,1.0,7.093902822695,1
Andhra Pradesh,Srikakulam,28,519,2007,1,248438.85482793,29,50000,1.0,6.5413475543879,1
Andhra Pradesh,Srikakulam,28,519,2008,1,464317.9956417001,2400,0,2.0,6.8709354986642,1
Andhra Pradesh,Srikakulam,28,519,2009,1,99876.583990745,0,500000,1.0,5.7776149304452,1
Andhra Pradesh,Srikakulam,28,519,2013,1,246385.22646018,27,250000,2.0,6.1697659138631,1
Andhra Pradesh,Srikakulam,28,519,2014,1,189576.05025298,6,15000,1.0,6.2777834706605,1
Andhra Pradesh,Srikakulam,28,519,2018,1,87682.569387647,7,300000,1.5,5.420034522303,1
Andhra Pradesh,Srikakulam,28,519,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Srikakulam,28,519,2021,2,417503.40525646,16,1524127,1.5,6.3167786712784,1
Andhra Pradesh,Srikakulam,28,519,2022,1,155000.0,0,60000,1.5,6.1445742076096,1
Andhra Pradesh,Visakhapatanam,28,520,1988,1,94871.792387788,50,0,1.0,5.4542583603891,1
Andhra Pradesh,Visakhapatanam,28,520,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Visakhapatanam,28,520,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Visakhapatanam,28,520,1991,2,751511.94623987,105,85000,1.0,6.5559874421319,1
Andhra Pradesh,Visakhapatanam,28,520,1994,3,2247144.19401963,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Visakhapatanam,28,520,1995,2,570876.40921351,238,522000,1.0,6.3337519666177,1
Andhra Pradesh,Visakhapatanam,28,520,1996,1,21445.456055093,2500,140000,2.0,5.3313352862992,1
Andhra Pradesh,Visakhapatanam,28,520,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,Visakhapatanam,28,520,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Visakhapatanam,28,520,2005,2,993646.6687805101,215,650000,1.0,7.1897694283678,1
Andhra Pradesh,Visakhapatanam,28,520,2006,2,493644.12023148005,205,2000000,1.0,7.093902822695,1
Andhra Pradesh,Visakhapatanam,28,520,2007,1,248438.85482793,29,50000,1.0,6.5413475543879,1
Andhra Pradesh,Visakhapatanam,28,520,2008,2,539805.9208224291,2474,0,2.0,6.8709354986642,1
Andhra Pradesh,Visakhapatanam,28,520,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Visakhapatanam,28,520,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Visakhapatanam,28,520,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,Visakhapatanam,28,520,2018,1,87682.569387647,7,300000,1.5,5.420034522303,1
Andhra Pradesh,Visakhapatanam,28,520,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Visakhapatanam,28,520,2021,2,417503.40525646,16,1524127,1.5,6.3167786712784,1
Andhra Pradesh,Visakhapatanam,28,520,2022,1,155000.0,0,60000,1.5,6.1445742076096,1
Andhra Pradesh,Vizianagaram,28,521,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Vizianagaram,28,521,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Vizianagaram,28,521,1991,2,751511.94623987,105,85000,1.0,6.5559874421319,1
Andhra Pradesh,Vizianagaram,28,521,1994,3,2247144.19401963,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Vizianagaram,28,521,1995,2,570876.40921351,238,522000,1.0,6.3337519666177,1
Andhra Pradesh,Vizianagaram,28,521,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,Vizianagaram,28,521,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Vizianagaram,28,521,1999,1,191940.24191857,9803,10000000,2.0,6.7602872925659,1
Andhra Pradesh,Vizianagaram,28,521,2003,1,117883.61598646,67,3000000,1.0,6.8118161385154,1
Andhra Pradesh,Vizianagaram,28,521,2005,1,374448.84730919,89,550000,1.0,6.8038414193852,1
Andhra Pradesh,Vizianagaram,28,521,2006,3,525005.056348009,238,2000000,1.0,7.093902822695,1
Andhra Pradesh,Vizianagaram,28,521,2007,1,248438.85482793,29,50000,1.0,6.5413475543879,1
Andhra Pradesh,Vizianagaram,28,521,2008,2,539805.9208224291,2474,0,2.0,6.8709354986642,1
Andhra Pradesh,Vizianagaram,28,521,2009,1,99876.583990745,0,500000,1.0,5.7776149304452,1
Andhra Pradesh,Vizianagaram,28,521,2013,1,246385.22646018,27,250000,2.0,6.1697659138631,1
Andhra Pradesh,Vizianagaram,28,521,2014,1,189576.05025298,6,15000,1.0,6.2777834706605,1
Andhra Pradesh,Vizianagaram,28,521,2018,1,87682.569387647,7,300000,1.5,5.420034522303,1
Andhra Pradesh,Vizianagaram,28,521,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Vizianagaram,28,521,2021,2,417503.40525646,16,1524127,1.5,6.3167786712784,1
Andhra Pradesh,Vizianagaram,28,521,2022,1,155000.0,0,60000,1.5,6.1445742076096,1
Andhra Pradesh,West Godavari,28,523,1986,1,107355.33281993,150,3000000,1.0,5.933913609651,1
Andhra Pradesh,West Godavari,28,523,1988,1,94871.792387788,50,0,1.0,5.4542583603891,1
Andhra Pradesh,West Godavari,28,523,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,West Godavari,28,523,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,West Godavari,28,523,1991,1,599564.88825453,90,85000,1.0,6.5559874421319,1
Andhra Pradesh,West Godavari,28,523,1994,2,2092494.9922392298,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,West Godavari,28,523,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,West Godavari,28,523,1996,2,198972.474590473,2826,240000,2.0,5.9482344637432,1
Andhra Pradesh,West Godavari,28,523,1997,2,465533.04904697894,38,20000,1.0,6.3634860780538,1
Andhra Pradesh,West Godavari,28,523,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,West Godavari,28,523,2000,1,129459.75891805,162,3000000,2.0,6.3674072990361,1
Andhra Pradesh,West Godavari,28,523,2005,2,993646.6687805101,215,650000,1.0,7.1897694283678,1
Andhra Pradesh,West Godavari,28,523,2006,3,533739.047304208,252,2225000,1.0,7.093902822695,1
Andhra Pradesh,West Godavari,28,523,2007,2,540844.064056827,221,220000,1.0,6.7677001834385,1
Andhra Pradesh,West Godavari,28,523,2008,1,75487.925180729,74,0,1.5,5.899066787828,1
Andhra Pradesh,West Godavari,28,523,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,West Godavari,28,523,2010,2,79122.95233635399,27,128000,1.5,5.6456186224386,1
Andhra Pradesh,West Godavari,28,523,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,West Godavari,28,523,2016,1,137435.40460325,17,3000,1.5,6.7291632323494,1
Andhra Pradesh,West Godavari,28,523,2018,1,87682.569387647,7,300000,1.5,5.420034522303,1
Andhra Pradesh,West Godavari,28,523,2019,1,302736.26273672,25,112500,1.5,6.3561257086734,1
Andhra Pradesh,Y.S.R.,28,504,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Y.S.R.,28,504,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Y.S.R.,28,504,1991,1,599564.88825453,90,85000,1.0,6.5559874421319,1
Andhra Pradesh,Y.S.R.,28,504,1992,1,752428.65689717,90,8000,1.0,7.4675299347014,1
Andhra Pradesh,Y.S.R.,28,504,1994,2,2092494.9922392298,847,816000,1.0,7.6772792647922,1
Andhra Pradesh,Y.S.R.,28,504,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Y.S.R.,28,504,1996,1,177527.01853538,326,100000,1.0,5.9482344637432,1
Andhra Pradesh,Y.S.R.,28,504,1997,1,384888.40479346993,6,0,1.0,6.3634860780538,1
Andhra Pradesh,Y.S.R.,28,504,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Y.S.R.,28,504,2001,1,87384.49860174801,143,50000,1.0,5.71958564905,1
Andhra Pradesh,Y.S.R.,28,504,2005,1,619197.82147132,126,100000,1.0,7.1897694283678,1
Andhra Pradesh,Y.S.R.,28,504,2006,1,190869.85004179,20,0,1.0,5.8827973236263,1
Andhra Pradesh,Y.S.R.,28,504,2007,3,617584.427129385,250,270000,1.0,6.7677001834385,1
Andhra Pradesh,Y.S.R.,28,504,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Y.S.R.,28,504,2010,1,63171.41172685,27,50000,1.0,5.6456186224386,1
Andhra Pradesh,Y.S.R.,28,504,2012,1,126082.83119507,40,70000,2.0,6.1006559523551,1
Andhra Pradesh,Y.S.R.,28,504,2014,1,376261.49252047,42,0,1.5,6.9557010155946,1
Andhra Pradesh,Y.S.R.,28,504,2015,1,93202.053762891,180,400000,2.0,6.6683954867336,1
Andhra Pradesh,Y.S.R.,28,504,2020,1,125991.05614617,6,2100,1.5,6.2764309755682,1
Andhra Pradesh,Y.S.R.,28,504,2021,2,300948.0,47,43827,2.0,6.197103495333,1
Arunanchal Pradesh,Anjaw,12,628,1996,1,128966.82889056,82,3000000,1.0,6.2865692803449,1
Arunanchal Pradesh,Anjaw,12,628,2008,2,364396.595813154,1042,1225000,2.0,7.0550817943772,1
