state_name,district,latitude,longitude,elevation_m,status
Tamil Nadu,Virudhunagar,9.494113,77.863499,86.0,success
Tamil Nadu,Ariyalur,11.152859,79.258881,75.0,success
Tamil Nadu,Tiruppur,10.791533,77.53428,237.0,success
Tamil Nadu,Kallakurichi,11.79805,79.054152,122.0,success
Tamil Nadu,Chengalpattu,12.628889,80.036613,48.0,success
Tamil Nadu,Ranipet,12.919363,79.408063,174.0,success
Tamil Nadu,Tirupathur,12.584825,78.625053,1031.0,success
Tamil Nadu,Tenkasi,9.093121,77.47558,161.0,success
Tripura,Dhalai,23.827709,91.98144,94.0,success
Tripura,North Tripura,24.091844,92.241829,96.0,success
Tripura,South Tripura,23.181356,91.614844,35.0,success
Tripura,West Tripura,23.91862507031634,91.38745873633485,,failed
Tripura,Khowai,23.954463106040784,91.64123425262862,,failed
Tripura,Sepahijala,23.531917062116563,91.30086223504884,,failed
Tripura,Gomati,23.426337737448748,91.62206875989226,,failed
Tripura,Unakoti,24.201913786189706,92.04631904121655,,failed
Telangana,Adilabad,19.54085010362641,78.63803265411033,,failed
Telangana,Hyderabad,17.399417665235212,78.46043044479089,,failed
Telangana,Karimnagar,18.405717253742992,79.277765078362,,failed
Telangana,Khammam,17.174686088752793,80.40315102722829,,failed
Telangana,Mahabubnagar,16.69188516908462,77.95659150431472,,failed
Telangana,Medak,17.945250000354577,78.1687891640452,,failed
Telangana,Nalgonda,16.85839822522908,79.21725386857591,,failed
Telangana,Nizamabad,18.72246918438259,78.21998850951934,,failed
Telangana,Ranga Reddy,17.130491474529556,78.3988728048196,,failed
Telangana,Warangal,17.948574999893086,79.78823230912525,,failed
Telangana,Nirmal,19.092894260245004,78.39628524712825,,failed
Telangana,Jagitial,18.822495000171507,78.91376706433523,,failed
Telangana,Peddapalli,18.62375883664402,79.49462228122368,,failed
Telangana,Rajanna Sircilla,18.4221291346974,78.76640851479007,,failed
Telangana,Mancherial,18.97813449869358,79.52277372838985,,failed
Telangana,Kamareddy,18.31228875915098,78.0555665624176,,failed
Telangana,Hanumakonda,18.071770000465015,79.4461772571317,,failed
Telangana,Jayashankar Bhupalapally,18.50959609537277,79.96127503441954,,failed
Telangana,Mahabubabad,17.7040259999389,80.03322005085359,,failed
Telangana,Jangoan,17.7475700006646,79.24131857928944,,failed
Telangana,Bhadradri Kothagudem,17.716944662147654,80.5681018374253,,failed
Telangana,Sangareddy,17.8556647678349,77.72035298361712,,failed
Telangana,Siddipet,18.046675000425154,78.90670094814425,,failed
Telangana,Wanaparthy,16.288821690806333,77.98425536718136,,failed
Telangana,Nagarkurnool,16.42027980842601,78.65662766320676,,failed
Telangana,Jogulamba Gadwal,16.096648128643956,77.73464549192302,,failed
Telangana,Suryapet,17.080359591262294,79.7924717268082,,failed
Telangana,Yadadri Bhuvanagiri,17.431525001199915,79.085975475395,,failed
Telangana,Vikarabad,17.25115412742968,77.73928527477476,,failed
Telangana,Kumuram Bheem Asifabad,19.324966487701907,79.42850159064992,,failed
Telangana,Medchal Malkajgiri,17.53405000024964,78.53230795989174,,failed
Telangana,Mulugu,18.313258634282477,80.34424102757099,,failed
Telangana,Narayanpet,16.687871181577634,77.61751996677006,,failed
Uttarakhand,Almora,29.70264374771609,79.4326232567407,,failed
Uttarakhand,Bageshwar,30.008838904622877,79.9280311918487,,failed
Uttarakhand,Chamoli,30.50033155787555,79.61952067704064,,failed
Uttarakhand,Champawat,29.235074908159852,80.10222705173607,,failed
Uttarakhand,Dehradun,30.49756060813852,77.86293191687517,,failed
Uttarakhand,Haridwar,29.911283430221925,78.0086520396884,,failed
